,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
198,198,9216,"Where is 1,4-alpha-glucan branching protein    CT_866 found ?",Chlamydia trachomatis D/UW-3/CX,61435,Which person founded Panasonic ?,Konosuke Matsushita
199,199,9233,Which taxon does phosphoglycerate mutase    ECL_00808 belong to ?,Enterobacter cloacae subsp. cloacae ATCC 13047,770,Which work of art was filmed at Wrocław ?,Bridge of Spies
200,200,9498,"Where is Cytochrome c oxidase, subunit I    FP0379 found ?",Flavobacterium psychrophilum JIP02/86,1324,Which city was Magic Magic filmed on ?,Chile
201,201,9688,Where is deoxyribonucleotide triphosphate pyrophosphatase    VP2621 found ?,Vibrio parahaemolyticus RIMD 2210633,1371,Which location was Payoff filmed ?,Marseille
202,202,9706,Where is Angiopoietin-1 receptor found ?,Homo sapiens,2388,Which administrative territory was In the Loop filmed at ?,London
203,203,9768,Which taxon is hypothetical protein    Smed_1615 found in ?,Sinorhizobium medicae WSM419,3893,What was the location of filming The Holy Girl ?,La Ciénaga
204,204,9786,Where is 23S rRNA (uracil-5-)-methyltransferase RumA    THEYE_A1400 found ?,Thermodesulfovibrio yellowstonii DSM 11347,9764,Which film genre was filmed in the location Italy ?,Nostalgija vampira
205,205,9995,Which taxon is DNA mismatch repair protein MutS    Moth_1113 found in ?,Moorella thermoacetica ATCC 39073,10093,Which television program had Norway as its location of filming ?,71 Degrees North
206,206,10077,Where is spermidine/putrescine ABC transporter ATP-binding protein    SMc01965 found ?,Sinorhizobium meliloti 1021,275,Which collectable was written by Lemmy Kilmister ?,White Line Fever
207,207,10135,Which taxon does 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH    SMU_2162c belong to ?,Streptococcus mutans UA159,727,What is the collectable written by Atom Egoyan ?,Dear Sandra
208,208,10268,Where is tryptophan permease    YE0649 found ?,Yersinia enterocolitica subsp. enterocolitica 8081,746,Who penned The Spoiler ?,Annalena McAfee
209,209,10722,Where is response regulator receiver (CheY-like) modulated CheB methylesterase    Moth_0743 found ?,Moorella thermoacetica ATCC 39073,852,Who was the writer of Hogfather ?,Terry Pratchett
210,210,10740,Where is Cytochrome P450 2B19 found ?,house mouse,1567,"Who authored original 1568 version of Vasari's ""Lives of the Most Excellent Painters, etc"" ?",Giorgio Vasari
211,211,10847,Which taxon is Ribosomal RNA processing protein 36 homolog found in ?,house mouse,2377,Which collectable is Thomas Kinsella an author of ?,Louis le Brocquy Táin illustrations
212,212,11245,Where is prolyl-tRNA synthetase    NRG857_00995 found ?,Escherichia coli O83:H1 str. NRG 857C,4601,Who wrote Wolfsbane ?,Jacqueline Rayner
213,213,11296,Which taxon is IgG receptor FcRn large subunit p51 found in ?,house mouse,5337,Which collectable has Thomas Aquinas as its author ?,on being and essence
214,214,12017,Where is Ras-related protein Rab-20 found ?,Homo sapiens,11199,"Which person authored Harvey, John ?",John Knox Laughton
215,215,12044,Where is ATP-dependent zinc metalloprotease FtsH    CT_841 found ?,Chlamydia trachomatis D/UW-3/CX,21601,"Who authored Catsomy, le chat qui dérape?",Jérémy Taburchi
216,216,12277,Which taxon does UDP-N-acetylmuramoylalanine-D-glutamyl-lysine-D-alanyl-D-alanine ligase    spr1514 belong to ?,Streptococcus pneumoniae R6,54984,"Which communication was written by United Nations Educational, Scientific and Cultural Organization ?",Declaration of Principles on Tolerance
217,217,12455,Where is imidazole glycerol-phosphate dehydratase/histidinol phosphatase    XCC1811 found ?,Xanthomonas campestris pv. campestris str. ATCC 33913,59263,Who penned Sétimo?,André Vianco
218,218,12920,Where is shikimate kinase    BT_3393 found ?,Bacteroides thetaiotaomicron VPI-5482,1200,What is the record label of Beryl Davis ?,Hindsight Record Company
219,219,12988,Which taxon is adenylyl-sulfate kinase    MAB_4182 found in ?,Mycobacterium abscessus,1349,Who sponsored the recoding of Tiffany ?,SM Entertainment
220,220,13146,Where is PTS system fructose/mannitol transporter subunit IIBC    HMPREF0351_10726 found ?,Enterococcus faecium DO,1571,Which release has association football as its record label ?,Yeovil True
221,221,13252,Which taxon is FKBP-type peptidylprolyl isomerase    BT_2976 found in ?,Bacteroides thetaiotaomicron VPI-5482,2309,Which division is the record brand of Sinikka Langeland ?,ECM Records
222,222,13319,Where is Meiotic recombination protein REC8 homolog found ?,Homo sapiens,2578,Which release has been sponsored by association football for its recording ?,Yeovil True
223,223,13533,Which taxon is Peroxisomal sarcosine oxidase found in ?,Homo sapiens,5279,Which division sponsored the recording of Resolution ?,Black Saint/Soul Note
224,224,13546,Which taxon is Galactosylceramide sulfotransferase found in ?,Homo sapiens,9923,Which release has English as its recording sponsor ?,Radiosurgery
225,225,13574,Where is Myotubularin-related protein 3 found ?,Homo sapiens,192,What is the ethnicity of Stanley Crouch ?,African Americans
226,226,13617,Which taxon is ATP synthase F0 subunit b    aq_1587 found in ?,Aquifex aeolicus VF5,1339,Which people does Vladimir Putin have as his/her race ?,Russians
227,227,13878,Where is uridylate kinase    HP0777 found ?,Helicobacter pylori 26695,1400,Who has Los Angeles as ethnic group ?,Rose Catherine Pinkney
228,228,13993,Where is ATP synthase subunit C    MSC_0890 found ?,Mycoplasma mycoides subsp. mycoides SC str. PG1,2248,Which ethnic group does Jesus Christ belong ?,Jews
229,229,13999,Where is aldehyde dehydrogenase    KPHS_21200 found ?,Klebsiella pneumoniae subsp. pneumoniae HS11286,11166,What is the race of Sendhil Ramamurthy ?,Kannada people
230,230,14075,Which taxon is phosphoribosylaminoimidazole synthetase    TTHA0367 found in ?,Thermus thermophilus HB8,18691,Which person has Belgium as his/her ethnicity ?,Pascal White
231,231,14182,Where is 3-dehydroquinate synthase    Rru_A3741 found ?,Rhodospirillum rubrum ATCC 11170,29373,Which administrative territory does Suicide of Phoebe Prince have as ethnic origin ?,Ireland
232,232,14250,Which taxon does 3-dehydroquinate synthase    DR_0777 belong to ?,Deinococcus radiodurans R1,207,Which work of art has Hayao Miyazaki as cinematographer ?,The Wind Rises
233,233,14378,Which taxon is Short-chain dehydrogenase/reductase family 42E member 1 found in ?,Homo sapiens,819,Which person is the cinematographer of The Blues Brothers ?,Stephen Marshall Katz
234,234,14540,Which taxon does PTS system glucose-specific transporter subunit IIABC    SSUBM407_0346 belong to ?,Streptococcus suis BM407,1208,Which person serves as the director of photography for Circle of Iron ?,Ronnie Taylor
235,235,14820,Which taxon is sigma-54 dependent transcriptional regulator    PSPTO_5424 found in ?,Pseudomonas syringae pv. tomato str. DC3000,650,Where was Rachel Carson decalred as a victor ?,National Book Award for Nonfiction
236,236,14903,Where is serine hydroxymethyltransferase    THEYE_A0594 found ?,Thermodesulfovibrio yellowstonii DSM 11347,680,Which award was won by Lilly Wachowski ?,Saturn Award for Best Director
237,237,14985,Where is isocitrate dehydrogenase    PP_4012 found ?,Pseudomonas putida KT2440,1106,Which national sports team emerged victorious in 2006 FIFA World Cup ?,Italy national football team
238,238,15254,Where is Endothelial zinc finger protein induced by tumor necrosis factor alpha found ?,Homo sapiens,1308,Who won 1986 FIFA World Cup ?,Argentina national football team
239,239,15383,Which taxon does DNA-directed RNA polymerase subunit alpha    SDY_3471 belong to ?,Shigella dysenteriae Sd197,8274,Which sports club was the winner of 1993-1994 Cyprus Volleyball Division 1 ?,Anorthosis Famagusta Volley (men)
240,240,15396,Where is GMP reductase    BSU32130 found ?,Bacillus subtilis subsp. subtilis str. 168,19132,Which person was the champion of 1975 Iditarod ?,Emmitt Peters
241,241,15480,Which taxon is sensory transduction protein LytT    BA_5691 a part of?,Bacillus anthracis str. Ames,154,Which application depicts association football ?,Match Day II
242,242,15541,Where is 4-diphosphocytidyl-2C-methyl-D-erythritol kinase    Cj1104 found ?,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,607,Which collectable expresses Antarctica ?,The heart of the Antarctic
243,243,15603,Where is tRNA pseudouridine synthase B    DR_1323 found ?,Deinococcus radiodurans R1,717,What painting depicts Nîmes ?,grande fresque de la gare de Lyon
244,244,15633,Where is chaperonin GroEL    HI0543 found ?,Haemophilus influenzae Rd KW20,1004,Which work of art expressess Paul Anka ?,Lonely Boy
245,245,15774,Which taxon is 1-pyrroline-5-carboxylate dehydrogenase    FP0415 found in ?,Flavobacterium psychrophilum JIP02/86,1103,What is expressed in Enceladus Fountain ?,man
246,246,15925,Where is Acyl-CoA desaturase 1 found ?,house mouse,1638,Which painting demonstrates Rosalba Carriera ?,Self-portrait
247,247,16045,Which taxon does phosphatidate cytidylyltransferase synthase    SMU_1785 belong to ?,Streptococcus mutans UA159,1915,Which painting expressess farmer ?,"Long Pond, Foot of Red Hill"
248,248,16060,Which taxon is glycerol-3-phosphate dehydrogenase    PA3584 found in ?,Pseudomonas aeruginosa PAO1,1976,Which application expresses association football ?,Match Day II
249,249,16162,Where is Lymphocyte transmembrane adapter 1 found ?,Homo sapiens,2877,Which application expressess association football ?,Match Day II
250,250,16214,Which taxon is succinate-semialdehyde dehydrogenase [NAD(P)+] GabD    SO_3496 found in ?,Shewanella oneidensis MR-1,3873,Which architectural structure expressess Christianity ?,Christian sacral architecture
251,251,16495,Which taxon does ribose operon repressor    MSMEG_1708 belong to ?,Mycobacterium smegmatis str. MC2 155,4684,Which work depicts Erich Honecker ?,"My God, Help Me to Survive This Deadly Love"
252,252,16521,Where is formamidopyrimidine-DNA glycosylase    tll1566 found ?,Thermosynechococcus elongatus BP-1,7652,Which print expresses farmer ?,Return from the Fields
253,253,16855,Which taxon is Solute carrier family 10 member 6 found in ?,house mouse,8133,What is demonstrated in Flag of Niue ?,Crux
254,254,16870,Where is GPI mannosyltransferase 4 found ?,house mouse,11331,Which painting expresses merchant ?,Sermon and Deeds of the Antichrist
255,255,17050,Where is phospho-N-acetylmuramoyl-pentapeptide-transferase    SMc01863 found ?,Sinorhizobium meliloti 1021,12810,Which taxon is depicted in second coat of arms of Elburg ?,Prunus spinosa
256,256,17156,Where is Long-chain-fatty-acid--CoA ligase 1 found ?,house mouse,13498,What is depcited in sports film ?,sport
257,257,17229,"Which taxon is precorrin-6Y C5,15-methyltransferase (decarboxylating)    DVU2749 found in ?",Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough,13758,Which symbol demonstrates Luke the Evangelist ?,Cross of Saint Euphrosyne
258,258,17498,Which taxon is OTU domain-containing protein 4 found in ?,house mouse,14705,Which artwork series expresses physician ?,Portrait of Dr. Gachet
259,259,17501,Where is tryptophan--tRNA ligase    BB_0005 found ?,Borrelia burgdorferi B31,15951,Which works of art demonstrate Frédéric Chopin ?,Frédéric Chopin
260,260,17503,Where is cation efflux system membrane protein    gll2454 found ?,Gloeobacter violaceus PCC 7421,19091,Which furniture demonstrates Society of Jesus ?,Southern Barbarian (Nanban-jin) Boat at Shore
261,261,17760,Where is D(2) dopamine receptor found ?,Homo sapiens,19280,Which information depicts Luke the Evangelist ?,Saint Luke painting the Virgin
262,262,17805,Which taxon is RNAse P protein component    Pro_1300 found in ?,Prochlorococcus marinus subsp. marinus str. CCMP1375,19524,Which collectable expressess Antarctica ?,The heart of the Antarctic
263,263,17864,Where is gamma-aminobutyrate transporter    ECIAI39_2851 found ?,Escherichia coli IAI39,19653,Which application demonstrates association football ?,Match Day II
264,264,18076,Which taxon does 4'-phosphopantetheinyl transferase    SAG1685 belong to ?,Streptococcus agalactiae 2603V/R,22811,Which coat of arms expresses Catherine of Alexandria ?,coat of arms of Ulestraten
265,265,18211,Which taxon does 6-phospho-beta-glucosidase    ECUMN_3038 belong to ?,Escherichia coli UMN026,22817,Which media expresses singer ?,Chanteur florentin du XVe siècle
266,266,18243,Where is hyaluronate lyase    spr0286 found ?,Streptococcus pneumoniae R6,22917,Which print depicts Japan ?,The Fifty-Three Stations of the Tōkaidō: Station #49: Sakanoshita
267,267,18246,Which taxon is HIST3H2A found in ?,Homo sapiens,25252,Which literary work expresses United States Army ?,The Liberation Trilogy
268,268,18545,Which taxon is endonuclease III    SSA_1711 found in ?,Streptococcus sanguinis SK36,26626,Which text depicts architect ?,Billiards at Half-past Nine
269,269,18557,Where is Polymerase I and transcript release factor found ?,Homo sapiens,28523,Which collectable demonstrates Australia ?,The Voyage of the Beagle
270,270,18677,"Where is fructose-1,6-bisphosphatase    BF1819 found ?",Bacteroides fragilis YCH46,35063,Which text expresses architect ?,Billiards at Half-past Nine
271,271,19087,Which taxon is Anoctamin-5 found in ?,house mouse,35999,Which collectable depicts Buenos Aires ?,The Voyage of the Beagle
272,272,19164,Where is Homeobox protein Hox-A5 found ?,Homo sapiens,39645,Which artwork series depicts volcanic eruption ?,Vesuvius in Eruption
273,273,19204,Which taxon is acetolactate synthase 3 catalytic subunit    ECIAI39_0081 found in ?,Escherichia coli IAI39,42097,Which literary work demonstrates World War II ?,The Liberation Trilogy
274,274,19410,Where is molybdopterin biosynthesis protein MoeB    PA2103 found ?,Pseudomonas aeruginosa PAO1,43235,Which information demonstrates Luke the Evangelist ?,Saint Luke painting the Virgin
275,275,19783,Where is thermostable beta-glucosidase B    BT_3314 found ?,Bacteroides thetaiotaomicron VPI-5482,46461,Which symbol expressess Luke the Evangelist ?,Cross of Saint Euphrosyne
